0,1,2,3,4,5,6,7,8,9,text,polarity,subjectivity,sentiment,neg,neu,pos,compound,text_len,text_word_count,punct,tokenized,nonstop,stemmed,rise
RT @AnnieAgar: If the Microsoft Apps had a Teams meeting😂 #TeacherAppreciationWeek @MicrosoftEDU #sponsored https://t.co/gEg3MiSKtM;,,,,,,,,,, if the microsoft apps had a teams meeting teacherappreciationweek microsoftedu sponsored https t co geg3misktm ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,112,15, if the microsoft apps had a teams meeting teacherappreciationweek microsoftedu sponsored https t co geg3misktm ,"['', 'if', 'the', 'microsoft', 'apps', 'had', 'a', 'teams', 'meeting', 'teacherappreciationweek', 'microsoftedu', 'sponsored', 'https', 't', 'co', 'geg3misktm', '']","['', 'microsoft', 'apps', 'teams', 'meeting', 'teacherappreciationweek', 'microsoftedu', 'sponsored', 'https', 'co', 'geg3misktm', '']","['', 'microsoft', 'app', 'team', 'meet', 'teacherappreciationweek', 'microsoftedu', 'sponsor', 'http', 'co', 'geg3misktm', '']",1
Upgrading to Microsoft 365 (Office 365)? Bring a productivity speaker &amp; Microsoft Certified Trainer to your next me… https://t.co/FO7wyX0Ynv,,,,,,,,,,upgrading to microsoft 365 office 365 bring a productivity speaker amp microsoft certified trainer to your next me https t co fo7wyx0ynv,0.0,0.0,neutral,0.0,1.0,0.0,0.0,136,22,upgrading to microsoft 365 office 365 bring a productivity speaker amp microsoft certified trainer to your next me https t co fo7wyxynv,"['upgrading', 'to', 'microsoft', '365', 'office', '365', 'bring', 'a', 'productivity', 'speaker', 'amp', 'microsoft', 'certified', 'trainer', 'to', 'your', 'next', 'me', 'https', 't', 'co', 'fo7wyxynv']","['upgrading', 'microsoft', '365', 'office', '365', 'bring', 'productivity', 'speaker', 'amp', 'microsoft', 'certified', 'trainer', 'next', 'https', 'co', 'fo7wyxynv']","['upgrad', 'microsoft', '365', 'offic', '365', 'bring', 'product', 'speaker', 'amp', 'microsoft', 'certifi', 'trainer', 'next', 'http', 'co', 'fo7wyxynv']",1
I won the A Long Excursion achievement in Microsoft Wordament (Mobile) for 327 points on #TrueAchievements https://t.co/TBWSIyPGUk;,,,,,,,,,,i won the a long excursion achievement in microsoft wordament mobile for 327 points on trueachievements https t co tbwsiypguk ,-0.05,0.4,positive,,,,,126,20,i won the a long excursion achievement in microsoft wordament mobile for 327 points on trueachievements https t co tbwsiypguk ,"['i', 'won', 'the', 'a', 'long', 'excursion', 'achievement', 'in', 'microsoft', 'wordament', 'mobile', 'for', '327', 'points', 'on', 'trueachievements', 'https', 't', 'co', 'tbwsiypguk', '']","['long', 'excursion', 'achievement', 'microsoft', 'wordament', 'mobile', '327', 'points', 'trueachievements', 'https', 'co', 'tbwsiypguk', '']","['long', 'excurs', 'achiev', 'microsoft', 'wordament', 'mobil', '327', 'point', 'trueachiev', 'http', 'co', 'tbwsiypguk', '']",1
RT @adryanashton: i think us microsoft users deserve a lil something for our troubles as well;,,,,,,,,,, i think us microsoft users deserve a lil something for our troubles as well ,0.0,0.0,negative,,,,,77,14, i think us microsoft users deserve a lil something for our troubles as well ,"['', 'i', 'think', 'us', 'microsoft', 'users', 'deserve', 'a', 'lil', 'something', 'for', 'our', 'troubles', 'as', 'well', '']","['', 'think', 'us', 'microsoft', 'users', 'deserve', 'lil', 'something', 'troubles', 'well', '']","['', 'think', 'us', 'microsoft', 'user', 'deserv', 'lil', 'someth', 'troubl', 'well', '']",1
RT @iqbal_st: Please join us for a #CHI2021 panel May 11 10-11AM PT discussing research from Microsoft during the pandemic and insights on…;,,,,,,,,,, please join us for a chi2021 panel may 11 10 11am pt discussing research from microsoft during the pandemic and insights on ,0.0,0.0,positive,,,,,125,22, please join us for a chi221 panel may 11 1 11am pt discussing research from microsoft during the pandemic and insights on ,"['', 'please', 'join', 'us', 'for', 'a', 'chi221', 'panel', 'may', '11', '1', '11am', 'pt', 'discussing', 'research', 'from', 'microsoft', 'during', 'the', 'pandemic', 'and', 'insights', 'on', '']","['', 'please', 'join', 'us', 'chi221', 'panel', 'may', '11', '1', '11am', 'pt', 'discussing', 'research', 'microsoft', 'pandemic', 'insights', '']","['', 'pleas', 'join', 'us', 'chi221', 'panel', 'may', '11', '1', '11am', 'pt', 'discuss', 'research', 'microsoft', 'pandem', 'insight', '']",1
RT @MSFT365Status: We've unblocked all identified users who were unable to send new messages, restored legitimate mail flow, and resolved e…;,,,,,,,, we ve unblocked all identified users who were unable to send new messages,-0.18181818181818182,0.4772727272727273,neutral,0.0,1.0,0.0,0.0,74,13, we ve unblocked all identified users who were unable to send new messages,"['', 'we', 've', 'unblocked', 'all', 'identified', 'users', 'who', 'were', 'unable', 'to', 'send', 'new', 'messages']","['', 'unblocked', 'identified', 'users', 'unable', 'send', 'new', 'messages']","['', 'unblock', 'identifi', 'user', 'unabl', 'send', 'new', 'messag']",1
New guide from Bounteous on structured logging in Microsoft’s Azure Application Insights—including tips and project… https://t.co/1NI1eW5ENF;,,,,,,,,,,new guide from bounteous on structured logging in microsoft s azure application insights including tips and project https t co 1ni1ew5enf ,0.13636363636363635,0.45454545454545453,neutral,0.0,1.0,0.0,0.0,138,21,new guide from bounteous on structured logging in microsoft s azure application insights including tips and project https t co 1ni1ew5enf ,"['new', 'guide', 'from', 'bounteous', 'on', 'structured', 'logging', 'in', 'microsoft', 's', 'azure', 'application', 'insights', 'including', 'tips', 'and', 'project', 'https', 't', 'co', '1ni1ew5enf', '']","['new', 'guide', 'bounteous', 'structured', 'logging', 'microsoft', 'azure', 'application', 'insights', 'including', 'tips', 'project', 'https', 'co', '1ni1ew5enf', '']","['new', 'guid', 'bounteou', 'structur', 'log', 'microsoft', 'azur', 'applic', 'insight', 'includ', 'tip', 'project', 'http', 'co', '1ni1ew5enf', '']",1
@Dimension9426 @FableReboot @Alejandroid1979 @JONeBLAZE426 Netflix is the top 5 companies in the world, so they're… https://t.co/ElDz95re3D;,,,,,,,,, dimension9426 fablereboot alejandroid1979 joneblaze426 netflix is the top 5 companies in the world,0.5,0.5,positive,,,,,99,13, dimension426 fablereboot alejandroid17 joneblaze426 netflix is the top 5 companies in the world,"['', 'dimension426', 'fablereboot', 'alejandroid17', 'joneblaze426', 'netflix', 'is', 'the', 'top', '5', 'companies', 'in', 'the', 'world']","['', 'dimension426', 'fablereboot', 'alejandroid17', 'joneblaze426', 'netflix', 'top', '5', 'companies', 'world']","['', 'dimension426', 'fablereboot', 'alejandroid17', 'joneblaze426', 'netflix', 'top', '5', 'compani', 'world']",1
Got invited to try the Microsoft xcloud beta and gotta say… it’s bad, real bad, like one a gigabit network the lag… https://t.co/AjR88hWLiB;,,,,,,,,got invited to try the microsoft xcloud beta and gotta say it s bad,-0.6999999999999998,0.6666666666666666,negative,,,,,67,14,got invited to try the microsoft xcloud beta and gotta say it s bad,"['got', 'invited', 'to', 'try', 'the', 'microsoft', 'xcloud', 'beta', 'and', 'gotta', 'say', 'it', 's', 'bad']","['got', 'invited', 'try', 'microsoft', 'xcloud', 'beta', 'gotta', 'say', 'bad']","['got', 'invit', 'tri', 'microsoft', 'xcloud', 'beta', 'gotta', 'say', 'bad']",1
RT @JulianMaciasT: EuropaPress, agencia de noticias fundada por miembros del Opus Dei, dio la noticia por buena y la replicaron cientos de…;,,,,,,,, europapress,0.0,0.0,neutral,0.0,1.0,0.0,0.0,12,1, europapress,"['', 'europapress']","['', 'europapress']","['', 'europapress']",1
RT @SalmanMKC: Lots of posts about the new Microsoft Azure Logo, haven't seen one with a side-by-side comparison, so here's one I put toget…;,,,,,,,, lots of posts about the new microsoft azure logo,0.13636363636363635,0.45454545454545453,neutral,0.0,1.0,0.0,0.0,49,9, lots of posts about the new microsoft azure logo,"['', 'lots', 'of', 'posts', 'about', 'the', 'new', 'microsoft', 'azure', 'logo']","['', 'lots', 'posts', 'new', 'microsoft', 'azure', 'logo']","['', 'lot', 'post', 'new', 'microsoft', 'azur', 'logo']",1
RT @iqbal_st: Please join us for a #CHI2021 panel May 11 10-11AM PT discussing research from Microsoft during the pandemic and insights on…;,,,,,,,,,, please join us for a chi2021 panel may 11 10 11am pt discussing research from microsoft during the pandemic and insights on ,0.0,0.0,positive,,,,,125,22, please join us for a chi221 panel may 11 1 11am pt discussing research from microsoft during the pandemic and insights on ,"['', 'please', 'join', 'us', 'for', 'a', 'chi221', 'panel', 'may', '11', '1', '11am', 'pt', 'discussing', 'research', 'from', 'microsoft', 'during', 'the', 'pandemic', 'and', 'insights', 'on', '']","['', 'please', 'join', 'us', 'chi221', 'panel', 'may', '11', '1', '11am', 'pt', 'discussing', 'research', 'microsoft', 'pandemic', 'insights', '']","['', 'pleas', 'join', 'us', 'chi221', 'panel', 'may', '11', '1', '11am', 'pt', 'discuss', 'research', 'microsoft', 'pandem', 'insight', '']",1
@Microsoft Seaford!;,,,,,,,,,, microsoft seaford ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,19,2, microsoft seaford ,"['', 'microsoft', 'seaford', '']","['', 'microsoft', 'seaford', '']","['', 'microsoft', 'seaford', '']",1
RT @LeeNgwira: @mymixtapez What about us the Microsoft users... we need a settlement too;,,,,,,,,,, mymixtapez what about us the microsoft users we need a settlement too ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,71,12, mymixtapez what about us the microsoft users we need a settlement too ,"['', 'mymixtapez', 'what', 'about', 'us', 'the', 'microsoft', 'users', 'we', 'need', 'a', 'settlement', 'too', '']","['', 'mymixtapez', 'us', 'microsoft', 'users', 'need', 'settlement', '']","['', 'mymixtapez', 'us', 'microsoft', 'user', 'need', 'settlement', '']",1
RT @LeeNgwira: @mymixtapez What about us the Microsoft users... we need a settlement too;,,,,,,,,,, mymixtapez what about us the microsoft users we need a settlement too ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,71,12, mymixtapez what about us the microsoft users we need a settlement too ,"['', 'mymixtapez', 'what', 'about', 'us', 'the', 'microsoft', 'users', 'we', 'need', 'a', 'settlement', 'too', '']","['', 'mymixtapez', 'us', 'microsoft', 'users', 'need', 'settlement', '']","['', 'mymixtapez', 'us', 'microsoft', 'user', 'need', 'settlement', '']",1
RT @Daily_Express: Melinda Gates breaks Twitter silence after announcing divorce with post on ‘resilience’ https://t.co/fkkNNC1EGo;,,,,,,,,,, melinda gates breaks twitter silence after announcing divorce with post on resilience https t co fkknnc1ego ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,109,16, melinda gates breaks twitter silence after announcing divorce with post on resilience https t co fkknnc1ego ,"['', 'melinda', 'gates', 'breaks', 'twitter', 'silence', 'after', 'announcing', 'divorce', 'with', 'post', 'on', 'resilience', 'https', 't', 'co', 'fkknnc1ego', '']","['', 'melinda', 'gates', 'breaks', 'twitter', 'silence', 'announcing', 'divorce', 'post', 'resilience', 'https', 'co', 'fkknnc1ego', '']","['', 'melinda', 'gate', 'break', 'twitter', 'silenc', 'announc', 'divorc', 'post', 'resili', 'http', 'co', 'fkknnc1ego', '']",1
RT @OpenAtMicrosoft: After the #PyCon US keynote, join @gvanrossum, creator of the Python programming language and Founder of PyCon, for a…;,,,,,,, after the pycon us keynote,0.0,0.0,neutral,0.0,1.0,0.0,0.0,27,5, after the pycon us keynote,"['', 'after', 'the', 'pycon', 'us', 'keynote']","['', 'pycon', 'us', 'keynote']","['', 'pycon', 'us', 'keynot']",1
Microsoft’s Windows 10X Woes Show Why Apple Won't Unify macOS, iOS - ExtremeTech https://t.co/pF35A7QnmT;,,,,,,,,,microsoft s windows 10x woes show why apple won t unify macos,0.0,0.0,positive,,,,,61,12,microsoft s windows 1x woes show why apple won t unify macos,"['microsoft', 's', 'windows', '1x', 'woes', 'show', 'why', 'apple', 'won', 't', 'unify', 'macos']","['microsoft', 'windows', '1x', 'woes', 'show', 'apple', 'unify', 'macos']","['microsoft', 'window', '1x', 'woe', 'show', 'appl', 'unifi', 'maco']",1
@Gartner_inc ALL STEPS2 CONTAIN C19 is STRINGNT NOW- @nasscom busi i.e few emp on holiday MAYB due2 C19 will b bk s… https://t.co/PyKEParwnm;,,,,,,,,,, gartner inc all steps2 contain c19 is stringnt now nasscom busi i e few emp on holiday mayb due2 c19 will b bk s https t co pykeparwnm ,-0.2,0.1,positive,,,,,136,28, gartner inc all steps2 contain c1 is stringnt now nasscom busi i e few emp on holiday mayb due2 c1 will b bk s https t co pykeparwnm ,"['', 'gartner', 'inc', 'all', 'steps2', 'contain', 'c1', 'is', 'stringnt', 'now', 'nasscom', 'busi', 'i', 'e', 'few', 'emp', 'on', 'holiday', 'mayb', 'due2', 'c1', 'will', 'b', 'bk', 's', 'https', 't', 'co', 'pykeparwnm', '']","['', 'gartner', 'inc', 'steps2', 'contain', 'c1', 'stringnt', 'nasscom', 'busi', 'e', 'emp', 'holiday', 'mayb', 'due2', 'c1', 'b', 'bk', 'https', 'co', 'pykeparwnm', '']","['', 'gartner', 'inc', 'steps2', 'contain', 'c1', 'stringnt', 'nasscom', 'busi', 'e', 'emp', 'holiday', 'mayb', 'due2', 'c1', 'b', 'bk', 'http', 'co', 'pykeparwnm', '']",1
@Microsoft Stop funding traitors https://t.co/G12vGltrW0;,,,,,,,,,, microsoft stop funding traitors https t co g12vgltrw0 ,0.0,0.0,negative,,,,,55,8, microsoft stop funding traitors https t co g12vgltrw ,"['', 'microsoft', 'stop', 'funding', 'traitors', 'https', 't', 'co', 'g12vgltrw', '']","['', 'microsoft', 'stop', 'funding', 'traitors', 'https', 'co', 'g12vgltrw', '']","['', 'microsoft', 'stop', 'fund', 'traitor', 'http', 'co', 'g12vgltrw', '']",1
@monntolentino @windowsinsider @ALumia_Italia @windowsblog @windowscentral @microsofterses @zacbowden Something ver… https://t.co/yoZza7iLcY;,,,,,,,,,, monntolentino windowsinsider alumia italia windowsblog windowscentral microsofterses zacbowden something ver https t co yozza7ilcy ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,132,14, monntolentino windowsinsider alumia italia windowsblog windowscentral microsofterses zacbowden something ver https t co yozza7ilcy ,"['', 'monntolentino', 'windowsinsider', 'alumia', 'italia', 'windowsblog', 'windowscentral', 'microsofterses', 'zacbowden', 'something', 'ver', 'https', 't', 'co', 'yozza7ilcy', '']","['', 'monntolentino', 'windowsinsider', 'alumia', 'italia', 'windowsblog', 'windowscentral', 'microsofterses', 'zacbowden', 'something', 'ver', 'https', 'co', 'yozza7ilcy', '']","['', 'monntolentino', 'windowsinsid', 'alumia', 'italia', 'windowsblog', 'windowscentr', 'microsofters', 'zacbowden', 'someth', 'ver', 'http', 'co', 'yozza7ilci', '']",1
@c_r_5 @JNcleary @CaraMachete @MethodicalMemes You ponies are happy for what you do for Sony. WE are happy for what… https://t.co/OOJ8v9KAQE;,,,,,,,,,, c r 5 jncleary caramachete methodicalmemes you ponies are happy for what you do for sony we are happy for what https t co ooj8v9kaqe ,0.8,1.0,positive,,,,,134,25, c r 5 jncleary caramachete methodicalmemes you ponies are happy for what you do for sony we are happy for what https t co ooj8vkaqe ,"['', 'c', 'r', '5', 'jncleary', 'caramachete', 'methodicalmemes', 'you', 'ponies', 'are', 'happy', 'for', 'what', 'you', 'do', 'for', 'sony', 'we', 'are', 'happy', 'for', 'what', 'https', 't', 'co', 'ooj8vkaqe', '']","['', 'c', 'r', '5', 'jncleary', 'caramachete', 'methodicalmemes', 'ponies', 'happy', 'sony', 'happy', 'https', 'co', 'ooj8vkaqe', '']","['', 'c', 'r', '5', 'jncleari', 'caramachet', 'methodicalmem', 'poni', 'happi', 'soni', 'happi', 'http', 'co', 'ooj8vkaq', '']",1
"@JuddLegum @MikeDuHaime Hey, Mikey, we the believers in democracy will MAKE SURE it is more than a ""one day story.""… https://t.co/Un1WC00Y8B;",,,,,,,,,, juddlegum mikeduhaime hey mikey we the believers in democracy will make sure it is more than a one day story https t co un1wc00y8b ,0.5,0.6944444444444444,positive,,,,,132,24, juddlegum mikeduhaime hey mikey we the believers in democracy will make sure it is more than a one day story https t co un1wcy8b ,"['', 'juddlegum', 'mikeduhaime', 'hey', 'mikey', 'we', 'the', 'believers', 'in', 'democracy', 'will', 'make', 'sure', 'it', 'is', 'more', 'than', 'a', 'one', 'day', 'story', 'https', 't', 'co', 'un1wcy8b', '']","['', 'juddlegum', 'mikeduhaime', 'hey', 'mikey', 'believers', 'democracy', 'make', 'sure', 'one', 'day', 'story', 'https', 'co', 'un1wcy8b', '']","['', 'juddlegum', 'mikeduhaim', 'hey', 'mikey', 'believ', 'democraci', 'make', 'sure', 'one', 'day', 'stori', 'http', 'co', 'un1wcy8b', '']",1
RT @channelstv: Ife Adebayo, Special Assistant to Vice President Yemi Osinbajo on Innovation, explains how the federal government secured a…;,,,,,,,, ife adebayo,0.0,0.0,neutral,0.0,1.0,0.0,0.0,12,2, ife adebayo,"['', 'ife', 'adebayo']","['', 'ife', 'adebayo']","['', 'ife', 'adebayo']",1
"RT @JuddLegum: 2. The trove of information comes from @nabpac, the trade association for corporate PACs.
Board members include @Microsoft,…;",,,,,,,,,, 2 the trove of information comes from nabpac the trade association for corporate pacs board members include microsoft ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,119,18, 2 the trove of information comes from nabpac the trade association for corporate pacs board members include microsoft ,"['', '2', 'the', 'trove', 'of', 'information', 'comes', 'from', 'nabpac', 'the', 'trade', 'association', 'for', 'corporate', 'pacs', 'board', 'members', 'include', 'microsoft', '']","['', '2', 'trove', 'information', 'comes', 'nabpac', 'trade', 'association', 'corporate', 'pacs', 'board', 'members', 'include', 'microsoft', '']","['', '2', 'trove', 'inform', 'come', 'nabpac', 'trade', 'associ', 'corpor', 'pac', 'board', 'member', 'includ', 'microsoft', '']",1
RT @SecTicSjo: #CienciaDeDatos💻 | Ingenieros, científicos, analistas  de datos y desarrolladores, la Dirección de Gobierno Digital trabaja…;,,,,,,, cienciadedatos ingenieros,0.0,0.0,neutral,0.0,1.0,0.0,0.0,26,2, cienciadedatos ingenieros,"['', 'cienciadedatos', 'ingenieros']","['', 'cienciadedatos', 'ingenieros']","['', 'cienciadedato', 'ingeniero']",1
RT @Erii_hime: Fucking microsoft charged me for xbox gold even tho it was only supposed to be a one time payment last year so now I'm down…;,,,,,,,,,, fucking microsoft charged me for xbox gold even tho it was only supposed to be a one time payment last year so now i m down ,-0.18888888888888888,0.5388888888888889,negative,,,,,125,26, fucking microsoft charged me for xbox gold even tho it was only supposed to be a one time payment last year so now i m down ,"['', 'fucking', 'microsoft', 'charged', 'me', 'for', 'xbox', 'gold', 'even', 'tho', 'it', 'was', 'only', 'supposed', 'to', 'be', 'a', 'one', 'time', 'payment', 'last', 'year', 'so', 'now', 'i', 'm', 'down', '']","['', 'fucking', 'microsoft', 'charged', 'xbox', 'gold', 'even', 'tho', 'supposed', 'one', 'time', 'payment', 'last', 'year', '']","['', 'fuck', 'microsoft', 'charg', 'xbox', 'gold', 'even', 'tho', 'suppos', 'one', 'time', 'payment', 'last', 'year', '']",1
